labels,gonzalez_alegre_pilot_09_passive,gonzalez_alegre_pilot_09_active,gonzalez_alegre_pilot_13_passive,gonzalez_alegre_pilot_13_active,gonzalez_alegre_pilot_11_passive,gonzalez_alegre_pilot_11_active,gonzalez_alegre_pilot_08_passive,gonzalez_alegre_pilot_08_active,gonzalez_alegre_pilot_05_passive,gonzalez_alegre_pilot_05_active,gonzalez_alegre_pilot_06_passive,gonzalez_alegre_pilot_06_active,gonzalez_alegre_pilot_10_passive,gonzalez_alegre_pilot_10_active,gonzalez_alegre_pilot_07_passive,gonzalez_alegre_pilot_07_active,gonzalez_alegre_pilot_12_passive,gonzalez_alegre_pilot_12_active
42,0.733961370055159,0.759113470733217,0.765164723893775,0.775370457930668,0.445363811053432,0.474291498451125,0.499682852592623,0.488432146121219,0.911891145589919,0.915792684020739,0.656902723513881,0.642464582607159,0.83520692813723,0.796376329787234,0.686620571487911,0.714594814914384,0.586770381580839,0.74927982085204
43,0.776754753079039,0.799210006583278,0.796143250688705,0.805050353224109,0.514919617962864,0.571095571095571,0.89117845767783,0.882129642977272,0.949499346974314,0.96356026098732,0.935541588291967,0.927982883416033,0.649651972157773,0.504347826086956,0.868920207693123,0.884560570071259,0.827198342389581,0.939563573375018
44,0.316498316498316,0.355400696864111,0.586572438162544,0.548672566371682,0,0,0.588502269288956,0.57984496124031,0.717791411042945,0.747320061255743,0.786333012512031,0.768175582990398,0.835752612256425,0.842523477004575,0.5625,0.53822629969419,0.433098591549296,0.710080285459411
46,0.834582555756111,0.833312655086849,0.882537752102969,0.888449139829562,0.687989454911995,0.658116685505608,0.74456738040277,0.72747084224545,0.835848705049376,0.928137225398736,0.768130375735627,0.782557878174871,0.853499451733656,0.866216034047798,0.685568009929023,0.80777086832191,0.63785913944004,0.902885957408491
47,0.906940073952172,0.905907071263734,0.930112682809878,0.932295198116729,0.7953693836158,0.818113220344731,0.833771601810974,0.821934400284233,0.924282462704973,0.957345113012458,0.880539575481055,0.883738656122716,0.895105786387968,0.89162155801365,0.859158337521172,0.896180224372076,0.780296351070789,0.935757460377897
49,0.847076872500137,0.893428165007112,0.904916169366297,0.904769818846601,0.758206195099399,0.766662178537768,0.916446073440576,0.873041253597697,0.924464236014473,0.958261143487163,0.933536496879988,0.91459746800028,0.869087837837838,0.843205574912892,0.900145348837209,0.935989826197541,0.795563506261181,0.913813286508633
50,0.784197111299915,0.801083276912661,0.805966173924624,0.817465800746165,0.506861522010337,0.524070879724008,0.745382859514422,0.68744971842317,0.896248124062031,0.808246508534693,0.796692329626461,0.784479947831757,0.893443480079473,0.885,0.814517209053167,0.855004677268475,0.728652013226999,0.827507163323782
51,0.820247278875621,0.824835526315789,0.84347914754767,0.871789902122299,0.582660037290242,0.627189583010386,0.784405318002156,0.548225469728601,0.87649063032368,0.897876232090235,0.867014576210185,0.822964867180806,0.836098541980895,0.821411425828133,0.863390725147669,0.909610841725724,0.802389909271963,0.893508697496818
52,0.744147157190635,0.848647532521164,0.812452253628724,0.826965305226175,0.526707234617985,0.549130897481376,0.827430293896006,0.466982852973367,0.70673200928553,0.895378364652108,0.763930242450021,0.747342600163532,0.857938044530494,0.800475624256837,0.850562105840417,0.895085588072888,0.715378079864061,0.884713919726729
53,0.787670519629283,0.788117989198172,0.800075657272555,0.805197268588771,0.516232038318254,0.5504,0.833373756973078,0.841087169441724,0.901626646010844,0.903007446088386,0.88608846058809,0.881792301027355,0.869391824526421,0.805708725267597,0.871794871794872,0.867151956323931,0.643804979871776,0.863266583229036
